flare_id,duration,att_in,peak_UTC,LC0_BKG,_id,GOES_class,GOES_flux,CFL_X_arcsec,CFL_Y_arcsec,start_UTC,end_UTC,LC0_PEAK_COUNTS_4S,LC0_BKG_COUNTS_4S,LC1_PEAK_COUNTS_4S,LC1_BKG_COUNTS_4S,LC2_PEAK_COUNTS_4S,LC2_BKG_COUNTS_4S,LC3_PEAK_COUNTS_4S,LC3_BKG_COUNTS_4S,LC4_PEAK_COUNTS_4S,LC4_BKG_COUNTS_4S,number_available_files,available_file_request_IDs
2211090050,492,False,2022-11-09 00:50:20.013,217.6887883551328,18265,B6.1,6.073233294046076e-07,,,2022-11-09T00:44:44.012,2022-11-09T00:52:56.013,1215,231.0,271,41.0,135,57.0,799,735.0,463,399.0,1,[2211090305]
2211090134,132,False,2022-11-09 01:34:32.017,217.6887883551328,18266,B4.5,4.459582498839154e-07,,,2022-11-09T01:33:56.017,2022-11-09T01:36:08.017,303,231.0,57,41.0,67,57.0,799,735.0,431,399.0,0,[]
2211090222,224,False,2022-11-09 02:22:00.023,217.6901663742929,18267,B4.6,4.598592227011977e-07,,,2022-11-09T02:20:00.022,2022-11-09T02:23:44.023,303,231.0,57,45.0,83,57.0,799,735.0,463,399.0,0,[]
2211090403,108,False,2022-11-09 04:03:24.032,217.6901663742929,18268,B5.4,5.429726570582716e-07,,,2022-11-09T04:02:36.032,2022-11-09T04:04:24.032,271,231.0,61,45.0,75,57.0,799,735.0,431,399.0,0,[]
2211090428,312,False,2022-11-09 04:28:24.035,217.6901663742929,18269,B6.1,6.059365773580794e-07,,,2022-11-09T04:27:24.035,2022-11-09T04:32:36.035,303,231.0,57,45.0,83,57.0,863,735.0,463,399.0,0,[]
2211090458,808,False,2022-11-09 04:58:16.038,217.6901663742929,18270,B6.3,6.310129379016871e-07,,,2022-11-09T04:52:52.037,2022-11-09T05:06:20.039,335,231.0,75,45.0,83,57.0,863,735.0,431,399.0,1,[2211094607]
2211090514,188,False,2022-11-09 05:14:32.039,217.6901663742929,18271,B6.4,6.404825967365468e-07,,,2022-11-09T05:13:52.039,2022-11-09T05:17:00.040,303,231.0,57,45.0,75,57.0,799,735.0,431,399.0,0,[]
2211090551,1940,False,2022-11-09 05:51:40.043,217.6901663742929,18272,B7.3,7.278044904523995e-07,,,2022-11-09T05:39:48.042,2022-11-09T06:12:08.045,367,231.0,67,45.0,83,57.0,863,735.0,463,399.0,1,[2211090238]
2211090720,628,False,2022-11-09 07:20:44.052,217.6901663742929,18273,B9.6,9.645385716794408e-07,,,2022-11-09T07:18:12.052,2022-11-09T07:28:40.053,2431,231.0,247,45.0,115,57.0,799,735.0,463,399.0,1,[2211091049]
2211090822,196,False,2022-11-09 08:22:12.059,217.6901663742929,18274,B5.1,5.100922066958447e-07,,,2022-11-09T08:20:40.059,2022-11-09T08:23:56.059,303,231.0,53,45.0,75,57.0,799,735.0,431,399.0,0,[]
