flare ID,request ID,X flare loc,Y flare loc,FWDFIT X SIGMA,FWDFIT Y SIGMA,MAX X COORD BP,MAX Y COORD BP
2211120431, 2211122670, 985.137268, 173.234161, 1.056040, 1.091326, 981.095886, 169.953613
2211120438, 2211128403, 1049.457764, 205.303360, 0.724944, 0.890973, 1050.523682, 200.835403
2211120605, 2211128970, 1002.832458, 185.804794, 1.602677, 1.104583, 995.371338, 185.185364
2211120735, 2211125198, 1075.235718, 213.444504, 0.614114, 0.508966, 1071.313354, 208.096848
2211120950, 2211128100, 994.958923, 229.691223, 1.831225, 2.605638, 984.868042, 223.134171
2211121153, 2211128495, 1027.197998, 287.323425, 1.281604, 0.868010, 1021.779968, 284.254578
2211121233, 2211125576, 1052.802612, 295.661560, 0.906627, 1.407222, 1051.985840, 291.791718
2211121258, 2211124232, 1026.771484, 287.775146, 3.326275, 5.132461, 1020.959778, 284.026398
2211121411, 2211124232, 1048.433838, 289.240631, 1.905157, 1.654106, 1043.035889, 283.767120
2211121430, 2211127520, 1083.603516, 188.936081, 1.025954, 0.851646, 1081.133667, 184.022751
2211121443, 2211127241, 1056.103760, 288.532654, 1.322607, 0.917457, 1057.955200, 283.654633
2211121453, 2211129187, 1084.086426, 288.678345, 0.418940, 0.329391, 1080.817627, 283.618805
2211121534, 2211123760, 1098.285767, 287.078918, 0.723332, 1.040972, 1095.592285, 283.474915
2211121557, 2211125558, 1081.510254, 306.470886, 1.066835, 1.311787, 1079.970215, 306.374512
2211121633, 2211124875, 1102.932373, 535.186462, 0.468734, 0.624378, 1094.798096, 528.259216
2211121735, 2211121565, 1114.256836, 571.944397, 1.519738, 2.565719, 1109.262695, 566.106445
2211121751, 2211121565, 1113.055542, 169.143036, 0.481498, 0.300630, 1109.038452, 168.267899
2211121800, 2211124837, 1102.214233, 184.717560, 0.396954, 0.186255, 1101.270386, 183.545074
2211121810, 2211124459, 1110.389893, 185.655701, 0.333618, 0.430464, 1108.781494, 183.522461
2211122009, 2211122486, 1123.859009, 463.829163, 2.343589, 2.532703, 1122.431641, 458.135345
2211122040, 2211120140, -1245.464844, -850.853638, 0.227907, 0.234323, -1251.769287, -854.866821
2211122153, 2211128626, 1143.707520, 488.051208, 0.886259, 1.212402, 1143.878052, 488.054657
2211122214, 2211124230, -1154.526611, 646.920898, 2.689054, 1.660399, -1158.827026, 648.028259
2211130013, 2211135045, 1193.844238, 519.125977, 1.965320, 3.645975, 1179.984497, 510.057831
2211130103, 2211132712, 1131.576294, 289.907898, 0.767649, 0.914446, 1126.010620, 281.502655
2211130131, 2211137388, 1163.747803, 487.050964, 1.602199, 2.296219, 1163.658203, 486.758972
2211130158, 2211135081, 1175.719482, 496.581299, 0.666841, 1.052034, 1170.875854, 494.200836
2211130204, 2211135081, -1136.450928, 615.742920, 1.158802, 0.782390, -1140.376465, 608.200806
2211130313, 2211136211, 1137.265381, 498.652832, 0.832017, 0.906814, 1147.017090, 493.749054
2211130343, 2211130406, -1247.010742, -845.927063, 0.630370, 0.836329, -1260.495605, -850.454895
2211130413, 2211138222, 1143.919556, 310.626587, 1.572784, 1.456393, 1138.580078, 311.211884
2211130430, 2211133272, 1149.596191, 299.452606, 0.475181, 0.479789, 1145.938965, 295.970978
2211130519, 2211138751, 1192.934326, 494.358856, 4.279846, 3.399316, 1190.774292, 492.995728
2211130536, 2211138751, 1090.275635, 181.694000, 2.515095, 1.933915, 1084.366455, 181.991577
2211130601, 2211133301, 1166.751587, 326.638611, 6.412593, 2.110212, 1159.846191, 318.389160
2211130618, 2211132304, 1198.957031, 201.804672, 0.376320, 0.242744, 1197.508301, 197.058319
2211130630, 2211131808, 1203.420898, 474.506714, 1.104722, 1.249930, 1197.322998, 477.413574
2211130638, 2211131808, 1203.450439, 477.345428, 0.993942, 1.253634, 1197.207031, 477.367371
2211130649, 2211134748, 1162.100342, 306.527466, 0.465018, 0.362552, 1159.163940, 303.049377
2211130723, 2211138416, -1259.465698, -870.972412, 1.722847, 1.717777, -1264.726074, -878.492310
2211130747, 2211137431, 1206.812744, 479.527649, 0.489398, 0.572540, 1196.212891, 476.970978
2211130936, 2211138455, 1221.384644, 484.886475, 1.399311, 0.996426, 1217.328857, 483.907135
2211131112, 2211137120, 1231.230835, 483.077393, 3.948393, 3.111442, 1238.582275, 490.901520
2211131222, 2211132241, 1209.785889, 490.323181, 1.066651, 1.379080, 1214.899170, 482.941284
2211131257, 2211138362, 1014.002563, 517.356689, 0.228889, 0.282941, 1010.737732, 512.911682
2211131420, 2211133776, 1241.458740, 481.529755, 1.419698, 1.335251, 1235.785400, 482.257721
2211131606, 2211139008, 1254.338501, 499.239807, 0.616733, 0.688575, 1249.281250, 496.702179
2211131650, 2211137589, 1244.902100, 489.332275, 1.288344, 0.960837, 1241.103027, 488.919403
2211131710, 2211136274, 1234.248413, 485.711548, 0.511010, 0.799099, 1233.289795, 481.283844
2211131727, 2211132897, 1248.513428, 487.309784, 0.696552, 0.856582, 1240.573853, 481.192291
2211131754, 2211131374, 1258.043701, 517.300171, 0.890710, 0.952656, 1247.681152, 511.098297
2211131804, 2211131374, 1267.121094, 503.896271, 0.808285, 0.784533, 1262.559326, 503.520691
2211132004, 2211139227, 1246.040283, 495.879944, 0.238344, 0.223205, 1245.756836, 495.300934
2211132035, 2211139227, 1248.314209, 496.016296, 0.436719, 0.368125, 1245.300903, 495.119629
2211132127, 2211139227, 1262.494019, 499.082642, 0.451505, 0.755383, 1259.534668, 494.817169
2211132152, 2211139227, 1260.644653, 499.867798, 1.081048, 2.705394, 1251.666016, 494.670410
2211132202, 2211139227, 1251.665649, 499.580353, 0.232614, 0.338736, 1251.524170, 494.614319
2211132246, 2211136551, 1239.760498, 486.076019, 0.611380, 0.584736, 1235.882324, 479.372559
2211132302, 2211134639, 1259.845459, 506.926849, 2.180270, 1.949827, 1258.115601, 509.237274
2211132316, 2211134872, 1257.284180, 504.624023, 0.981036, 0.852375, 1257.915771, 501.668793
2211132322, 2211131187, 1279.092163, 509.671112, 4.955126, 3.678051, 1280.292358, 509.122101
2211132327, 2211135705, 1257.674316, 487.842529, 1.186184, 2.805199, 1257.751953, 486.630249
2211132336, 2211133513, 1278.276489, 504.524506, 1.628240, 1.642550, 1280.083130, 501.553070
2211132356, 2211131162, 1295.578125, 576.982483, 0.599000, 0.693337, 1287.245605, 568.782959
2211140037, 2211142740, 1300.835449, 514.180298, 0.316474, 0.310336, 1294.112305, 508.668427
2211140116, 2211141346, 1251.556152, 485.346619, 0.297901, 0.257874, 1256.143188, 478.530731
2211140155, 2211149386, 1271.161133, 503.374512, 0.930058, 1.478354, 1270.508423, 500.729797
2211140205, 2211149572, 1253.721558, 487.589355, 0.319717, 0.367268, 1255.419922, 485.727936
2211140253, 2211147410, -1361.113892, 587.228516, 0.270499, 0.239446, -1366.741455, 582.545532
2211140329, 2211146178, 1315.452637, 514.080261, 0.805126, 1.074192, 1306.438110, 507.644531
2211140351, 2211144119, 1320.206787, 492.987396, 0.258136, 0.193578, 1321.038940, 492.590820
2211140427, 2211140911, 1292.850342, 479.715546, 0.663145, 1.280448, 1290.628174, 477.457825
2211140452, 2211148919, 1286.637451, 500.143066, 1.347462, 1.813810, 1282.802002, 492.237976
2211140520, 2211146873, 1266.969360, 488.656616, 0.449885, 0.558073, 1267.466431, 484.619537
2211140533, 2211148216, 1302.026245, 510.992340, 1.143625, 1.328303, 1297.095337, 506.910858
2211140546, 2211149264, 1296.480225, 495.849182, 3.378222, 2.380193, 1289.448242, 491.928223
2211140556, 2211142068, 1303.567017, 511.979858, 1.529680, 1.233613, 1296.740356, 506.772095
2211140637, 2211147455, 1279.215576, 484.159027, 0.368210, 0.237471, 1281.229736, 484.185669
2211140659, 2211147455, 1293.487549, 481.745697, 1.037107, 2.534025, 1295.798462, 476.615540
2211140713, 2211147324, 1297.942139, 483.643005, 0.586534, 0.764162, 1295.580322, 483.981171
2211140804, 2211148533, 1299.234863, 486.472382, 1.230421, 1.432839, 1294.818848, 483.696686
2211140813, 2211148533, 1293.567993, 484.733246, 1.142201, 1.796357, 1294.680542, 483.645020
2211140820, 2211148533, 1293.611084, 486.360474, 0.662969, 1.057295, 1294.576050, 483.605988
2211140826, 2211148533, 1294.878052, 482.868896, 0.697714, 1.200455, 1294.478760, 476.130096
2211140847, 2211147925, 1305.390503, 485.533936, 0.507075, 1.183630, 1301.604980, 483.453278
2211140916, 2211147925, 1330.539917, 496.037994, 0.807562, 0.622826, 1323.469238, 498.159760
2211140926, 2211146824, 1169.566650, 496.585114, 0.918478, 0.683303, 1167.190796, 490.666199
2211141023, 2211144450, 1304.055176, 510.474945, 0.547866, 0.580465, 1300.156372, 505.203644
2211141036, 2211146890, 1310.126343, 507.478882, 1.280739, 1.061016, 1299.954346, 512.553406
2211141128, 2211140730, 1324.947144, 531.033875, 2.803726, 1.682544, 1328.866699, 504.820862
2211141225, 2211142883, 1317.483643, 527.112915, 2.544039, 2.697469, 1313.150879, 526.744141
2211141302, 2211141441, 1324.117065, 515.046753, 0.308214, 0.392858, 1320.008667, 511.688751
2211141337, 2211141852, 1292.719971, 497.065765, 0.157671, 0.173043, 1297.237549, 489.243866
2211141413, 2211141520, 1319.659668, 538.550598, 2.687999, 3.182425, 1311.530029, 533.503723
2211141420, 2211146551, 1320.584229, 540.694519, 1.024300, 0.957352, 1318.826416, 540.867004
2211141455, 2211148352, 1326.591675, 591.819519, 1.632389, 1.262656, 1325.704834, 585.087585
2211141511, 2211145952, 1323.397217, 567.086670, 1.488528, 2.205142, 1310.651245, 555.360657
2211141529, 2211145952, 1320.122314, 516.094604, 0.888505, 1.445349, 1317.781250, 510.825317
2211141534, 2211145952, 1317.335205, 516.540588, 0.921071, 0.952555, 1317.700562, 518.196838
2211141541, 2211145952, 1323.043701, 516.478210, 0.845753, 0.740005, 1324.998413, 518.155823
2211141555, 2211145952, 1326.575562, 563.203674, 0.695603, 0.511040, 1324.794678, 555.081604
2211141642, 2211145952, 1350.049072, 558.634033, 6.777233, 12.660360, 1346.265991, 554.779907
2211141647, 2211145952, 1336.666626, 539.861328, 5.657963, 3.783482, 1331.390381, 539.952759
2211141726, 2211145952, 1327.943848, 516.918091, 0.190802, 0.233303, 1323.401001, 517.531128
2211141744, 2211145952, -119.809250, 1775.163208, 7.177620, 12.054563, -125.660027, 1766.632080
