,flare_id,att_in,GOES_flux,start_UTC,peak_UTC,end_UTC,4-10 keV,10-15 keV,number_available_files,available_file_request_IDs,solo_lat,solo_lon,solo_AU_distance,15-25 keV,25-50 keV,50-84 keV,GOES_class,Request IDs,aux_paths,pixel_paths,flare ID,STIX MAX X BP COORD,STIX MAX Y BP COORD,time shift,request ID,X flare loc,Y flare loc,FWDFIT X SIGMA,FWDFIT Y SIGMA,MAX X COORD BP,MAX Y COORD BP,Earth X,Earth Y
61,2211111044,False,1.2699010767391885e-06,2022-11-11T10:41:16.068,2022-11-11 10:44:16.069,2022-11-11T10:49:12.069,3967,463,1,[2211112382],9.12628875011648,-22.15689041015776,0.6193817730134428,135,863,431,C1.3,2211112382,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T103932-20221111T105120_V01_2211112382-54715.fits,2211111044,170.019104,-780.333496,183.661142,2211112382,789.456238,252.456879,0.740302,0.485098,783.104126,242.762283,170.17623192286243,216.27344647539275
62,2211111056,False,9.303309411734516e-07,2022-11-11T10:49:48.069,2022-11-11 10:56:16.070,2022-11-11T11:00:04.070,543,123,1,[2211117066],9.126023344081952,-22.150685994457888,0.6194781460743922,91,863,463,B9.3,2211117066,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T105003-20221111T110022_V01_2211117066-54716.fits,2211111056,170.26825,-788.531494,183.621131,2211117066,792.905029,248.420731,3.945113,2.233328,790.810974,242.724152,172.55224080721965,213.66853872181628
63,2211111136,False,1.2250230611243753e-05,2022-11-11T11:12:56.072,2022-11-11 11:36:56.074,2022-11-11T12:10:12.077,155647,23551,3,"[2211116471, 2211114421, 2211112966]",9.125120234519043,-22.12969384095561,0.6198046347227738,6399,3199,863,M1.2,2211116471,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T111102-20221111T121212_V01_2211116471-54717.fits,2211111136,68.776085,-823.174866,183.431228,2211116471,825.072205,144.583069,0.25013,0.256568,821.699707,140.862808,189.7141646354044,148.20944777024528
64,2211111346,False,1.3637313713843469e-06,2022-11-11T13:32:56.086,2022-11-11 13:46:32.087,2022-11-11T13:55:48.088,12799,3199,1,[2211110132],9.122204431402745,-22.063142734129883,0.6208439927261423,1215,991,463,C1.4,2211110132,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T134413-20221111T135019_V01_2211110132-50214.fits,2211111346,92.860374,-836.711365,182.917634,2211110132,839.289673,167.620102,0.580727,0.492983,835.953186,164.065582,203.567731465425,162.03761944006084
65,2211111357,False,7.958662990859011e-07,2022-11-11T13:55:48.088,2022-11-11 13:57:11.995,2022-11-11T14:07:07.996,991,335,1,[2211118828],9.121961940060451,-22.057689625809477,0.6209294479258305,199,863,463,B8.0,2211118828,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T135439-20221111T140021_V01_2211118828-54719.fits,2211111357,144.262619,-701.45282,182.875848,2211118828,712.307983,223.002319,0.796104,1.453597,703.041687,218.724091,115.91260020281216,201.88162523861286
66,2211111747,False,1.5764828731335e-06,2022-11-11T17:30:12.010,2022-11-11 17:47:24.012,2022-11-11T17:57:16.013,5375,671,1,[2211116710],9.116634663027316,-21.940855229817373,0.6227711171198839,167,863,463,C1.6,2211116710,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T173911-20221111T175810_V01_2211116710-54720.fits,2211111747,64.482468,-888.817505,181.933203,2211116710,897.187805,139.315628,0.60754,0.412399,887.89679,132.40567,248.90650840663093,142.018218970239
67,2211111805,False,1.458950691812788e-06,2022-11-11T18:03:28.014,2022-11-11 18:05:24.014,2022-11-11T18:14:04.015,4863,367,1,[2211118056],9.116210648857088,-21.93178920707362,0.622914894580265,135,799,463,C1.5,2211118056,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T180128-20221111T181642_V01_2211118056-54721.fits,2211111805,74.862724,-936.637268,181.850117,2211118056,936.431458,145.391083,0.376718,0.369941,934.411499,140.161713,279.33961170563987,143.7686841816412
68,2211111825,False,8.307465577672701e-07,2022-11-11T18:24:28.016,2022-11-11 18:25:16.016,2022-11-11T18:25:36.016,1599,367,1,[2211115828],9.115741416474023,-21.921794673161685,0.6230735438425766,199,799,431,B8.3,2211115828,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T181742-20221111T185917_V01_2211115828-54722.fits,2211111825,97.073906,-887.145325,181.73044,2211115828,887.013916,173.24942,0.766406,0.466865,887.460876,163.479645,243.91518285248998,163.70018353477465
69,2211112006,False,8.048405675253889e-07,2022-11-11T20:00:12.026,2022-11-11 20:06:04.026,2022-11-11T20:12:20.027,607,75,1,[2211119540],9.113340539037,-21.871272356235693,0.6238778809980606,83,799,431,B8.0,2211119540,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T200017-20221111T201235_V01_2211119540-54723.fits,2211112006,154.690155,-961.57251,181.372808,2211119540,968.164001,222.679474,5.241368,3.643471,964.073792,217.694092,311.03452612981846,190.22431264251858
70,2211112147,False,7.720208259343053e-07,2022-11-11T21:43:11.936,2022-11-11 21:47:51.937,2022-11-11T21:56:07.937,735,99,1,[2211112507],9.110882057665268,-21.820567590460428,0.6246891300951127,75,799,431,B7.7,2211112507,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T214209-20221111T215544_V01_2211112507-54725.fits,2211112147,182.63623,-788.130798,180.956477,2211112507,796.479187,252.935638,5.182872,5.007693,791.995361,248.469131,185.60451690259674,217.92537821698318
71,2211112226,False,1.1544565268195583e-06,2022-11-11T22:18:43.940,2022-11-11 22:26:51.941,2022-11-11T22:45:55.943,1471,115,1,[2211113044],9.109931243440348,-21.801226378192723,0.6249996471280473,83,799,431,C1.2,2211113044,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T221558-20221111T224038_V01_2211113044-54726.fits,2211112226,202.187378,-959.039551,180.796746,2211113044,966.374695,263.555695,0.681046,0.547328,962.348145,263.869659,315.2960979264621,215.94804462781704
72,2211112315,False,9.577188393450342e-07,2022-11-11T23:00:47.944,2022-11-11 23:15:11.946,2022-11-11T23:26:51.947,735,75,1,[2211118361],9.108746044768296,-21.777321104622047,0.6253842599016983,83,863,463,B9.6,2211118361,./aux_data/solo_L2_stix-aux-ephemeris_20221111_V01.fits,./pixel_data/solo_L1_stix-sci-xray-cpd_20221111T230058-20221111T232654_V01_2211118361-54727.fits,2211112315,387.297638,-920.040527,180.611668,2211118361,936.346375,449.228729,3.966701,3.819568,930.729675,449.852661,311.6451062815359,331.8778380365337
